,"en","zh-CN","zh-TW","ja"
R_MA_C,"1. All cards have pairs, trios, and kongs, but only number cards can form a straight. \n2. J, Q, K, Black Joker and Colored Joker are not numbers, so what are they? \n3. In fact, it's still a Landlord fight...","1. 所有牌都有对子、刻子和杠，但只有数字牌可以组成顺子。\n2. J、Q、K、小王和大王不是数字，那它们是什么呢？\n3. 其实还是斗地主啦……","1. 所有牌都有對子、刻子和槓，但只有數字牌可以組成順子。 \n2. J、Q、K、小王和大王不是數字，那它們是什麼呢？ \n3. 其實還是斗地主啦…","1. すべてのカードにはペア、トリオ、コングがありますが、ストレートを形成できるのは数字のカードだけです。\n2. J、Q、K、ブラックジョーカー、カラージョーカー は数字ではありませんが、それは何ですか? \n3. 実際、それはまだ地主の戦いです..."
R_TEXAS,"Rule - Texas","规则 - 德扑","規則 - 德撲","ルール - テキサス"
R_TEXAS_C,"1. Do I still need to introduce the rules? \n2. Only ""valid cards"" need to be played. For example, a pair is 2 cards, and there is no need to play 5 cards. \n3. Big cards can be played against small cards. \n4. The Joker is also there, but he can only suppress a single card. \n5. No matter how big the flush is, as long as it is not a straight, it is just a flush.","1. 还需要介绍规则吗？\n2. 只需要打「有效牌」，如对子就是 2 张，不需要打 5 张。\n3. 大牌型可以打小牌型。\n4. 小丑也在，不过只能压制单牌。\n5. 再大的同花，只要不是顺子，那它也只是同花。","1. 還需要介紹規則嗎？ \n2. 只需要打出「有效牌」，如對子就是 2 張，不需要打 5 張。 \n3. 大牌型可以打小牌型。 \n4. 小丑也在，不過只能壓制單牌。 \n5. 再大的同花，只要不是順子，那它也只是同花。","1. まだルールを導入する必要がありますか? \n2. 「有効なカード」のみをプレイする必要があります。たとえば、ペアは 2 枚のカードであり、5 枚のカードをプレイする必要はありません。 \n3. 大きなカードは小さなカードと対戦できます。 \n4. ジョーカーも存在しますが、彼が抑制できるカードは 1 枚だけです。 \n5. フラッシュがどれほど大きくても、それがストレートでない限り、それは単なるフラッシュです。"
R_BLACKJACK,"Rule - Black Jack","规则 - 21 点","規則 - 21 點","ルール - ブラックジャック"
R_BLACKJACK_C,"1. It’s time for math! \n2. There is no limit, in the case of more than 21 points, the bigger the better. \n3. But only 5 cards can be played at most. \n4. Clowns also exist! Although completely useless.","1. 算数时间到！\n2. 没有任何限制，在超过 21 点的情况下，越大越好。\n3. 但最多只能出 5 张牌。\n4. 小丑也是存在的！虽然完全没用。","1. 算數時間到！ \n2. 沒有任何限制，在超過 21 點的情況下，越大越好。 \n3. 但最多只能出 5 張牌。 \n4. 小丑也是存在的！ 雖然完全沒用。","1. 数学の時間です! \n2. 制限はありませんが、21 ポイントを超える場合は、大きいほど有利です。 \n3. ただし、プレイできるカードは最大 5 枚だけです。 \n4. ピエロも存在します! まったく役に立たないけれども。"
R_MATH,"Rule - Math","规则 - 数学","規則 - 數學","ルール - 数学"
R_MATH_C,"1. Calculation again...\n1.5. Everything is numbers! The Joker is no exception!\n2. Mysterious symbols: √2, π, e, 3 - 10? \n2.5. Tips: 1.414213562, 3.141593653, 2.718284828\n3. Big numbers! Does it look familiar? 32767, 65535, 2147483647\n4. All straight numbers are arithmetic sequences.\n5. Do you know the rabbit sequence? ","1. 又是计算……\n1.5. 万物皆数！小丑也不例外！\n2. 神秘的符号：√2、π、e，3 - 10？\n2.5. 提示：1.414213562、3.141593653、2.718284828\n3. 大数！眼熟吗？ 32767、65535、2147483647\n4. 所有的顺子都是等差数列。\n5. 您知道兔子数列吗？","1. 又是計算……\n1.5. 萬物皆數！ 小丑也不例外！ \n2. 神秘的符號：√2、π、e，3 - 10？ \n2.5. 提示：1.414213562、3.141593653、2.718284828\n3. 大數！ 眼熟嗎？ 32767、65535、2147483647\n4. 所有的順子都是等差數列。 \n5. 您知道兔子數列嗎？ ","1. もう一度計算します...\n1.5. すべては数字です! ジョーカーも例外ではありません！\n1.5. カードは 1 枚だけですか? ペアはありませんか？\n2. 謎の記号：√2、π、e、3～10？ \n2.5. ヒント: 1.414213562、3.141593653、2.718284828\n3. 大きな数字！ 見覚えがあるでしょうか？ 32767、65535、2147483647\n4. すべての直数は等差数列です。 \n5. ウサギの配列をご存知ですか？"
M_NORMAL,"Mode - Normal","模式 - 常规","模式 - 常規","モード - 通常"
M_NORMAL_C,"1. Synonymous with boredom. \n2. Nothing has changed.","1. 无聊的代名词。\n2. 什么也没有改变。","1. 無聊的代名詞。 \n2. 什麼也沒有改變。","1. 退屈と同義。 \n2. 何も変わっていません。"
M_REST,"Mode - Rest","模式 - 余牌","模式 - 餘牌","モード - 残り"
M_REST_C,"1. Run fast? If you run fast, you lose! \n2. Haha, I pass... Where can I press the pass button? \n3. Be careful with your teammates!","1. 跑得快？跑得快就输了！\n2. 哈哈，我不出…… 我按键呢？\n3. 小心你的队友！","1. 跑得快？ 跑得快就輸了！ \n2. 哈哈，我不出… 我按鍵呢？ \n3. 小心你的隊友！","1. 速く走りますか? 早く走ったら負けだよ！ \n2. ははは、パス...　パスボタンはボタンはどこにありますか? \n3. チームメイトには気をつけてください!"
M_BLIND,"Mode - Blind","模式 - 盲牌","模式 - 盲牌","モード - 盲目"
M_BLIND_C,"1. This is the original version of Landlords... Huh? Can you see the cards played? \n2. What about the hint? What about the hint? Help! \n3. Don't undo! Don't undo! Don't undo!","1. 这才是原汁原味的斗地主…… 不是，出牌也看不见吗？\n2. 提示呢，提示呢？救一下啊！\n3. 不要撤回！不要撤回！不要撤回！","1. 這才是原汁原味的斗地主…… 嗯？ 出牌也看不見嗎？ \n2. 提示呢，提示呢？ 救一下啊！ \n3. 不要撤回！ 不要撤回！ 不要撤回！","1. これが『Landlords』のオリジナル版です… あれ？ プレイされているカードが見えないのですか？ \n2. ヒントはどうですか? ヒントはどうですか? ヘルプ！ \n3. undoしないでください! undoしないでください！ undoしないでください！"
UI_PASSLIMIT,"Pass Limit","过牌限制","過牌限制","パス・リミット"
UI_PASSLIMIT_C,"1. Click ""pass"" and the number will decrease by 1. It's so magical! \n2. Guess what will happen if you press it again when it becomes 0?","1. 按一下「不出」，数字就会减 1，好神奇哦！\n2. 猜猜变成 0 的时候再按会发生什么？","1. 按一下「不出」，數字就會減 1，好神奇喔！ \n2. 猜猜變成 0 的時候再按會發生什麼事？","1.「パス」をクリックすると数値が 1 つ減ります。とても魔法です。 \n2. 0 になったときにもう一度押すとどうなるでしょうか?"
UI_PLAYLIMIT,"Play Limit","出牌限制","出牌限制","プレイ・リミット"
UI_PLAYLIMIT_C,"1. Click ""play"" and the number will decrease by 1. It's so magical! \n2. Guess what will happen if you press it again when it becomes 0?","1. 按一下「出牌」，数字就会减 1，好神奇哦！\n2. 猜猜变成 0 的时候再按会发生什么？","1. 按一下「出牌」，數字就會減 1，好神奇喔！ \n2. 猜猜變成 0 的時候再按會發生什麼事？","1.「プレイ」をクリックすると数値が 1 つ減ります。とても魔法です。 \n2. 0 になったときにもう一度押すとどうなるでしょうか?"
UI_PLAYLIMIT_CC,"""Someone is already dead, who could it be?""","「有的人活着。」","「有的人活著。」","- 「お前はもう死んでいる…」\n- 「なにぃ！？」"
UI_PASSREQ,"Pass Request","过牌要求","過牌要求","パス要件"
UI_PASSREQ_C,"1. The number represents the minimum number of times you have to press the ""Pass"" button! \n2. It will only be judged when you ""win"".","1. 数字代表你至少要按「不出」键多少次！\n2. 只会在你 “赢了” 的时候判断。","1. 數字代表你至少要按「不出」鍵幾次！ \n2. 只會在你「贏了」的時候判斷。","1. この数字は、「パス」ボタンを押す必要がある最小回数を表しています。 \n2. 「勝った」場合のみ判定されます。"
UI_PLAYREQ,"Play Request","出牌要求","出牌要求","プレイ要件"
UI_PLAYREQ_C,"1. The number represents the minimum number of times you have to press the ""Play"" button! \n2. It will only be judged when you ""win"".","1. 数字代表你至少要按「出牌」键多少次！\n2. 只会在你 “赢了” 的时候判断。","1. 數字代表你至少要按「出牌」鍵幾次！ \n2. 只會在你「贏了」的時候判斷。","1. この数字は、「プレイ」ボタンを押す必要がある最小回数を表しています。 \n2. 「勝った」場合のみ判定されます。"
UI_LEVEL,"Level","关卡","關卡","レベル"
UI_LEVELSOLVED,"This level has been passed!","这关已经通过啦！","這關已經通過啦！","このレベルはクリアしました！"
UI_LEVELSTALLED,"You haven't passed this level yet...","这关还没有通过……","這關還沒通過…","まだこのレベルを超えていないのですが…"
UI_SOLVED,"Solved","已完成","已完成","解けた"
CONGRATULATIONS,"Congratulations!","恭喜过关！","恭喜過關！","おめでとう！"
CHALLENGEFAILED,"Challenge failed...","挑战失败…","挑戰失敗…","失敗しました…"
OVER_WIN_NORMAL,"You finished playing pokers first!","您率先出完了牌！","您率先出完了牌！","先にトランプを終えました！"
OVER_WIN_NORMAL_P,"Your teammate has run out of cards!","您的队友把牌出完了！","您的隊友把牌出完了！","チームメイトがカードを使い果たしました！"
OVER_LOSE_NORMAL,"The opponent finished pokers first!","对手快了您一步！","對手快了您一步！","相手の方が先にトランプを終えた！"
OVER_WIN_REST,"The opponent dealt all their cards first!","对手先把牌出完了！","對手先把牌出完了！","相手の方が先にトランプを終えた！"
OVER_LOSE_REST_P,"Your teammate has run out of cards...","您的队友把牌出完了…","您的隊友把牌出完了…","チームメイトがカードを使い果たしました..."
OVER_LOSE_REST,"You dealt all your cards first...","您先把牌出完了…","您先把牌出完了…","先にトランプを終えました…"
OVER_LOSE_PASSLMT,"Out of Pass Limit...","超过过牌限制了…","超過過牌限制…","パスリミットを超えました..."
OVER_LOSE_PASSREQ,"Pass requirements not met...","未满足过牌要求…","未滿足過牌要求…","パス要件が満たされていません…"
OVER_LOSE_PLAYLMT,"Out of Play Limit...","超过出牌限制了…","超過出牌限制…","プレイリミットを超えました..."
OVER_LOSE_PLAYREQ,"Play requirements not met…","未满足出牌要求…","未滿足出牌要求…","プレイ要件が満たされていません…"
ERR_INVALID,"The card you played does not comply with the rules!","您出的牌不符合规则！","您出的牌不符合規則！","プレイしたカードはルールに準拠していません!"
ERR_UNBEAT,"The cards you play cannot beat your opponent!","您出的牌打不过对手！","您出的牌打不過對手！","プレイするカードは相手に勝つことはできません！"
ERR_NOCARD,"Please select at least one card!","请至少选择一张牌！","請至少選擇一張牌！","少なくとも 1 枚のカードを選択してください。"
BTN_LEAVEDIA,"Leave","离开","離開","離れる"
BTN_JUMPDIA,"Skip","跳过","跳過","スキップ"
BTN_DIA,"Chat","交谈","交談","チャット"
BTN_PC,"Play Cards","打牌","打牌","トランプ"
BTN_FL_1,"1st floor","一楼","一樓","1 階"
BTN_FL_2,"2nd floor","二楼","二樓","2 階"
BTN_FL_3,"3rd floor","三楼","三樓","3 階"
BTN_ENTER,"Enter","进入","進入","入力"
BTN_SELECT,"Select","选择","選擇","選ぶ"
BTN_CREATE,"New","新建","新建","新しい"
BTN_DELETE,"Delete","删除","刪除","消去"
UI_CHOOSESAVE,"Which house number is yours?","哪个门牌号是您的？","哪個門牌號碼是您的？","あなたの番地はどれですか?"
ERR_KEEPONESAVE,"Please keep at least one save!","请至少保留一个存档！","請至少保留一個存檔！","少なくとも 1 つのセーブを保存してください。"
ERR_SELECTONE,"Please select one save!","请选择一个存档！","請選擇一個存檔！","保存を選択してください。"
UI_ADDNEW,"Please select a house number","请选择一个门牌号","請選擇一個門牌號碼","番地を選択してください"
UI_ADDNEWC,"(Range: 001 - 999)","（范围：001 - 999）","（範圍：001 - 999）","(範囲: 001 ～ 999)"
ERR_ALREADYHAS,"This house number already exists!","这个门牌号已经存在了！","這個門牌號碼已經存在了！","この番地はすでに存在します。"
ERR_INVALIDNUM,"This house number is illegal!","这个门牌号不合法！","這個門牌號碼不合法！","この番地は違法です!"
UI_QUSDEL,"Are you sure you want to delete this house number?","确定删除这个门牌号吗？","確定刪除這個門牌號碼嗎？","この番地を削除してもよろしいですか?"
T_ITSNOTIME_1,"It's not time to leave yet.","现在还不是离开的时候。","現在還不是離開的時候。","今は出発するときではありません。"
UI_TRYLEAVE,"Are you sure you want to leave the hotel?","确定要离开旅店吗？","確定要離開旅館嗎？","ホテルを出てもよろしいですか?"
UI_TRYENTER,"Are you sure you want to enter {0}'s room?","确定进入 {0} 的房间吗？","確定進入 {0} 的房間嗎？","本当に {0} の部屋に入りますか?"
UI_CHOOSEDECK,"Please choose a deck of cards to play","请选择一副牌游玩","請選擇一副牌遊玩","プレイするカードのデッキを選択してください"
UI_WHEREYOUGO,"Where are you going?","您要去哪儿？","您要去哪裡？","どこに行くの？"
UI_CURROOM,"Current Room","当前房间","目前房間","現在の部屋"
UI_MYROOM,"My Room","我的房间","我的房間","私の部屋"
UI_TITLESCR,"Title Screen","标题界面","標題介面","タイトル画面"
BTN_YES,"Sure","确定","確定","確認する"
BTN_NO,"Cancel","取消","取消","キャンセル"
BTN_MYROOM,"Enter my room","进入我的房间","進入我的房間","私の部屋に入って"
BTN_BKTITLE,"Return to title","回到标题界面","回到標題介面","タイトルに戻る"
YOU,"You","你","你","あなた"
ANYQUS,"What to say?","该说些什么呢？","該說些什麼呢？","なんて言うか？"
NOQUS,"There is nothing more to say for now.","暂时没啥可说的了。","暫時沒啥可說的了。","今のところこれ以上言うことはありません。"
C_ROBOT,"Robot","机器人","機器人","ロボット"
C_ROBOT_1,"1. The robot is not smart, don't be fooled by its name! \n2. The robot always picks the smallest card. \n3. The robot plays the cards it has, and does its own thing without any ambiguity.","1. 机器人并不智能，不要被它的名字骗了！\n2. 机器人总是挑选最小的牌。\n3. 机器人有牌就出，我行我素，绝不含糊。","1. 機器人並不智能，不要被它的名字騙了！ \n2. 機器人總是挑選最小的牌。 \n3. 機器人有牌就出，我行我素，絕不含糊。","1. このロボットは賢くないので、名前に騙されないでください。 \n2. ロボットは常に最小のカードを選択します。 \n3. ロボットは持っているカードをプレイし、曖昧さなく独自の処理を実行します。"
C_LL_0,"???\n(Unlocked after passing 20 levels in 1-1)","???\n（在 1-1 通过 20 关后解锁）","???\n（在 1-1 通過 20 關後解鎖）","???\n(1-1 で 20 レベルを通過するとロック解除されます)"
C_HK_0,"???\n(Unlocked after passing 20 levels in 2-1)","???\n（在 2-1 通过 20 关后解锁）","???\n（在 2-1 通過 20 關後解鎖）","???\n(2-1 で 20 レベルを通過するとロック解除されます)"
C_BL_0,"???\n(Unlocked after passing 20 levels in 3-1)","???\n（在 3-1 通过 20 关后解锁）","???\n（在 3-1 通過 20 關後解鎖）","???\n(3-1 で 20 レベルを通過するとロック解除されます)"
C_CL_0,"???\n(Unlocked after passing 20 levels in 4-1)","???\n（在 4-1 通过 20关 后解锁）","???\n（在 4-1 通過 20 關後解鎖）","???\n(4-1 で 20 レベルを通過するとロック解除されます)"
C_SM_0,"???\n(Unlocked after passing 20 levels in 5-1)","???\n（在 5-1 通过 20 关后解锁）","???\n（在 5-1 通過 20 關後解鎖）","???\n(5-1 で 20 レベルを通過するとロック解除されます)"
C_EX_0,"???\n(Unlocked after passing 20 levels in 6-1)","???\n（在 6-1 通过 20 关后解锁）","???\n（在 6-1 通過 20 關後解鎖）","???\n(6-1 で 20 レベルを通過するとロック解除されます)"
C_ST_0,"???\n(Unlocked after passing 20 levels in 7-1)","???\n（在 7-1 通过 20 关后解锁）","???\n（在 7-1 通過 20 關後解鎖）","???\n(7-1 で 20 レベルを通過するとロック解除されます)"
C_GK_0,"???\n(Unlocked after passing 20 levels in 10-1)","???\n（在 10-1 通过 20 关后解锁）","???\n（在 10-1 通過 20 關後解鎖）","???\n(10-1 で 20 レベルを通過するとロック解除されます)"
C_TH_0,"???\n(Unlocked after passing 20 levels in 9-1)","???\n（在 9-1 通过 20 关后解锁）","???\n（在 9-1 通過 20 關後解鎖）","???\n(9-1 で 20 レベルを通過するとロック解除されます)"
C_LG_0,"???\n(Unlocked after passing 20 levels in 8-1)","???\n（在 8-1 通过 20 关后解锁）","???\n（在 8-1 通過 20 關後解鎖）","???\n(8-1 で 20 レベルを通過するとロック解除されます)"
C_LL_20,"???\n(Unlocked after passing 20 levels in 1-3)","???\n（在 1-3 通过 20 关后解锁）","???\n（在 1-3 通過 20 關後解鎖）","???\n(1-3 で 20 レベルを通過するとロック解除されます)"
C_HK_20,"???\n(Unlocked after passing 20 levels in 2-3)","???\n（在 2-3 通过 20 关后解锁）","???\n（在 2-3 通過 20 關後解鎖）","???\n(2-3 で 20 レベルを通過するとロック解除されます)"
C_BL_20,"???\n(Unlocked after passing 20 levels in 3-3)","???\n（在 3-3 通过 20 关后解锁）","???\n（在 3-3 通過 20 關後解鎖）","???\n(3-3 で 20 レベルを通過するとロック解除されます)"
C_CL_20,"???\n(Unlocked after passing 20 levels in 4-3)","???\n（在 4-3 通过 20关 后解锁）","???\n（在 4-3 通過 20 關後解鎖）","???\n(4-3 で 20 レベルを通過するとロック解除されます)"
C_SM_20,"???\n(Unlocked after passing 20 levels in 5-3)","???\n（在 5-3 通过 20 关后解锁）","???\n（在 5-3 通過 20 關後解鎖）","???\n(5-3 で 20 レベルを通過するとロック解除されます)"
C_EX_20,"???\n(Unlocked after passing 20 levels in 6-3)","???\n（在 6-3 通过 20 关后解锁）","???\n（在 6-3 通過 20 關後解鎖）","???\n(6-3 で 20 レベルを通過するとロック解除されます)"
C_ST_20,"???\n(Unlocked after passing 20 levels in 7-3)","???\n（在 7-3 通过 20 关后解锁）","???\n（在 7-3 通過 20 關後解鎖）","???\n(7-3 で 20 レベルを通過するとロック解除されます)"
C_GK_20,"???\n(Unlocked after passing 20 levels in 10-3)","???\n（在 10-3 通过 20 关后解锁）","???\n（在 10-3 通過 20 關後解鎖）","???\n(10-3 で 20 レベルを通過するとロック解除されます)"
C_TH_20,"???\n(Unlocked after passing 20 levels in 9-3)","???\n（在 9-3 通过 20 关后解锁）","???\n（在 9-3 通過 20 關後解鎖）","???\n(9-3 で 20 レベルを通過するとロック解除されます)"
C_LG_20,"???\n(Unlocked after passing 20 levels in 8-3)","???\n（在 8-3 通过 20 关后解锁）","???\n（在 8-3 通過 20 關後解鎖）","???\n(8-3 で 20 レベルを通過するとロック解除されます)"
C_LL_1,"1. Landlords habitually look for the ""longest"" card type. \n2. In addition, landlords, like robots, are accustomed to playing the lowest card.\n3. He is also a stubborn person who cannot leave bombs...","1. 房东习惯性去找「长度最大」的牌型。\n2. 除此以外，房东和机器人一样，习惯性打最小的牌。\n3. 也是个不会留炸弹的死脑筋……","1. 房東習慣性去找「長度最大」的牌型。\n2. 除此之外，房東和機器人一樣，習慣性打最小的牌。\n3. 也是個不會留炸彈的死腦筋…","1. 家主は「最も長い」カード タイプを探すことに慣れています。\n2. さらに、家主はロボットのようなもので、習慣的に最も小さいカードをプレイします。\n3. 彼は爆弾を残せない頑固な人でもあります..."
C_LL_2,"4. The landlord never plays against his teammates.","4. 房东从来不会打队友的牌。","4. 房東從來不會打隊友的牌。","4. 家主はチームメイトと決して対戦しません。"
C_LL_3,"0. ""6 of Hearts"" will make the landlord fall into painful memories and unable to think seriously.","0. 「红桃6」会让房东陷入痛苦的回忆中，无法认真思考。","0. 「紅心6」會讓房東陷入痛苦的回憶中，無法認真思考。","0. 「ハートの6」により、家主は辛い思い出に陥り、真剣に考えることができなくなります。"
C_HK_1,"1. Housekeepers like “all kinds of suits”, the more the merrier! \n2. The housekeeper will not touch her bomb easily unless necessary. \n3. Clown? Just an extra guy.","1. 管家喜欢「各种花色」，多多益善！\n2. 管家不会轻易碰她的炸弹，除非必要。\n3. 小丑？多余的家伙罢了。","1. 管家喜歡「各種花色」，多多益善！ \n2. 管家不會輕易碰觸她的炸彈，除非必要。 \n3. 小丑？ 多餘的傢伙罷了。","1. お手伝いさんは「いろんなスーツ」が好き、多ければ多いほど楽しい！ \n2. お手伝いさんは必要がない限り、簡単に爆弾に触れません。 \n3. ピエロ？ ただの余分な奴だ。"
C_HK_2,"4. The housekeeper has a habit of following the last person's cards and passing the next person's cards.","4. 管家习惯跟上家牌，过下家牌。","4. 管家習慣跟上家牌，過下家牌。","4. お手伝いさんは最後の人のカードをたどり、次の人のカードを渡す習慣があります。"
C_HK_3,"0. The housekeeper is tolerant of all men, except, of course, the clown.","0. 管家对所有男性宽容，当然，小丑除外。","0. 管家對所有男性寬容，當然，小丑除外。","0. お手伝いさんはすべての男性に対して寛容ですが、もちろんピエロは除きます。"
C_BL_1,"1. High emotional intelligence: The blogger's decision-making ability has reached the level of a robot! \n2. Blogger hate feudal monarchy, you know it. \n3. Except for knights, which represent romance.","1. 高情商：博主的决策能力达到了机器人的水平！\n2. 博主讨厌封建君主制，你懂的。\n3. 不过骑士除外，骑士代表浪漫。","1. 高情商：部落客的決策能力達到了機器人的水平！ \n2. 部落客討厭封建君主制，你懂的。 \n3. 不過騎士除外，騎士代表浪漫。","1. 高い心の知能指数: ブロガーの意思決定能力はロボットのレベルに達しています! \n2. ブロガーは封建君主制を嫌います、それはご存知でしょう。 \n3. ロマンスを表す騎士を除きます。"
C_BL_2,"4. Girls help girls.","4. Girls help girls.","4. Girls help girls.","4. ガール・ヘルプ・ガール"
C_BL_3,"0. Blogger hate clowns even more, two clowns.","0. 博主更讨厌小丑，两个小丑。","0. 部落客更討厭小丑，兩個小丑。","0. ブロガーはピエロをさらに嫌っています、2人のピエロ。"
C_SM_1,,"1. 大汉喜欢爆破的感觉。\n2. 当然，他不会率先引爆炸弹。\n3. 漫长的。",,
C_SM_2,,"4. 大汉总是帮小孩子。",,
C_SM_3,,"0. 其实大汉也惧怕炸弹。",,
C_EX_1,,"1. 阿尔伯特当然会优先凑21点。\n2. 没了。 ",,
C_EX_2,,"3. 不打队友牌的前提是队友牌更少。",,
C_EX_3,,,,
C_ST_1,,,,
C_ST_2,,,,
C_ST_3,,,,
C_GK_1,,,,
C_GK_2,,,,
C_GK_3,,,,
C_TH_1,,,,
C_TH_2,,,,
C_TH_3,,,,
C_LL,"Landlord","房东","房東","家主"
C_LL_N,"Henry","亨利","亨利","ヘンリー"
C_HK,"Housekeeper","管家","管家","お手伝いさん"
C_HK_N,"Maria","玛丽亚","瑪麗亞","マリア"
C_BL,"Blogger","博主","部落客","ブロガー"
C_BL_N,"Shu Shu","苏苏","蘇蘇","スス"
C_CL,"Mountain Climber","登山爱好者","登山愛好者","登山愛好家"
C_CL_N,"Madeline","玛德琳","馬德琳","マデリン"
C_SM,"Strong Man","大汉","壯漢","大きい男"
C_SM_N,"Wang Xiang","王祥","王祥","王祥"
C_EX,"Experimenter","实验员","實驗員","実験者"
C_EX_N,"Albert","阿尔伯特","阿爾伯特","アルバート"
C_ST,"Student","学生","學生","学生"
C_ST_N,"Song Kun","宋坤","宋坤","宋坤"
C_GK,"Geek","极客","極客","オタク"
C_GK_N,"Tanaka","田中","田中","田中"
C_TH,"Thief","扒手","扒手","泥棒"
C_TH_N,"Cuno","坤诺","庫諾","クーノ"
C_LG,"Little Girl","小女孩","小女孩","少女"
C_LG_N,"Paquerette","帕格丽","帕克蕾特","パケレット"
L_1_1,"Newcomer","新人","新人","新人"
L_1_2,"Choice","抉择","抉擇","選択"
L_1_3,"One Third","三分之一","三分之一","3分の1"
L_1_4,"Impossible Dream","无解的梦","無解的夢","見果てぬ夢"
L_2_1,"Responsibility","责任","責任","責任"
L_2_2,"Lie","谎言","謊言","嘘"
L_2_3,"Irreplaceable","无法替代","無法替代","かけがえのない"
L_2_4,"Nocturne","夜曲","夜曲","ノクターン"
L_3_1,"Traffic","流量","流量","トラフィック"
L_3_2,"Discrimination","歧视","歧視","差別する"
L_3_3,"The Devil's Two","恶魔的两人","惡魔的兩人","悪魔の二人"
L_3_4,"Living in the Moment","活在当下","活在當下","今を生きる"
L_4_1,"Experience","经验","經驗","経験"
L_4_2,"Quarrel","争执","爭執","紛争"
L_4_3,"Building Collapse","大厦崩塌","大廈崩塌","建物倒壊"
L_4_4,"Long","漫长的","漫長的","長さ"
L_5_1,"Hotel","旅馆","旅館","ホテル"
L_5_2,"Root","根源","根源","ルート"
L_5_3,"Case","案件","案件","ケース"
L_5_4,"Lake","湖畔","湖畔","レーク"
L_6_1,"Art","艺术","藝術","美術"
L_6_2,"Deviant","离经叛道","離經叛道","逸脱した"
L_6_3,"Drift","漂泊","漂泊","ドリフト"
L_6_4,"Stranger","异乡人","異鄉人","見知らぬ人"
L_7_1,"I Care","我在乎","我在乎","気にします"
L_7_2,"Moon Made of Iron","铁做的月亮","鐵做的月亮","鉄でできた月"
L_7_3,"Guerrilla Warfare","游击战","遊擊戰","ゲリラ戦"
L_7_4,"The Prodigal Son Returns","浪子回头","浪子回頭","放蕩息子が帰ってくる"
